"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.G8"	"SeuratProject"	971747	2184	0	1.68428613620623	-0.00382799611931643	0.00906329306167022	"G2M"	"2"	"1"	"1"	"4"	"4"	0.143529411764706	"Singlet"	"Tissue_stem_cells"	NA	NA	"T cells, CD8+, naive, stimulated"	NA	NA	"CD8+ T cells"	"CD8+ Effector Memory RA"	"Astrocytes"	"Astrocytes"	"Tumor"	0.630240370069982	-8.30275332626057	10.1490582657616	10.1490582657616
"X1001000173.D4"	"SeuratProject"	509929	1074	0	0.898752571436416	-0.0275553619033471	0.0122026346559087	"G2M"	"7"	"8"	"8"	"15"	"15"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"B cells"	"Exhausted B cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Tumor"	-0.277020822728632	15.352349880374	-11.3586117089313	-11.3586117089313
"X1001000173.B4"	"SeuratProject"	1101191	5870	0	4.18619476548573	-0.0330223915610463	-0.0501678669054503	"G1"	"2"	"1"	"1"	"4"	"4"	0.270588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.166389871870519	-10.2264522283907	11.4866515355313	11.4866515355313
"X1001000173.B12"	"SeuratProject"	1214175	6035	0	3.15539358000288	-0.00973945913797677	-0.0824358171825345	"G1"	"2"	"1"	"1"	"4"	"4"	0.272941176470588	"Singlet"	"Smooth_muscle_cells"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Astrocytes"	"Tumor"	1.63780908707285	-8.78766905959797	5.4387934367603	5.4387934367603
"X1001000173.D6"	"SeuratProject"	1234464	4467	0	1.9836949477668	-0.0487317374442864	-0.0174769236677919	"G1"	"2"	"1"	"1"	"10"	"10"	0.355294117647059	"Doublet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Dendritic cells"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-9.08731551047659	11.0367904931669	4.17665732145203	4.17665732145203
"X1001000173.E4"	"SeuratProject"	1381855	3746	0	3.57960856964009	-0.0337958869122163	-0.0613513520186622	"G1"	"2"	"1"	"1"	"4"	"4"	0.232941176470588	"Singlet"	"Tissue_stem_cells"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Dendritic cells"	"Plasmacytoid dendritic cells"	"HSCs"	NA	"Myocytes"	"Adipocytes"	"Tumor"	1.41724615219736	-8.77526700195027	5.27386076787023	5.27386076787023
"X1001000173.B6"	"SeuratProject"	1076385	3013	0	1.20291531375855	-0.0417442459706081	-0.0216156089368721	"G1"	"1"	"0"	"0"	"6"	"6"	0.272941176470588	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Macrophages"	"Macrophages"	"Tumor"	6.42849831703806	3.38763869110393	-24.8768310391682	-24.8768310391682
"X1001000173.C4"	"SeuratProject"	972750	2103	0	0.736674376766898	0.0095281040539202	0.0361939013611288	"G2M"	"2"	"1"	"1"	"4"	"4"	0.141176470588235	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"Monocytes"	NA	NA	"Progenitor cells"	NA	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.270997751986028	-8.38125645812702	11.5551462749034	11.5551462749034
"X1001000173.A9"	"SeuratProject"	1175019	3495	0	1.3845733558351	-0.012060737507245	0.007181086261642	"G2M"	"2"	"1"	"1"	"4"	"4"	0.244705882352941	"Singlet"	"Tissue_stem_cells"	"Tissue_stem_cells:BM_MSC:BMP2"	NA	NA	"Progenitors"	NA	"CD4+ T cells"	"CD8+ Effector Memory RA"	"Fibroblasts"	"Fibroblasts"	"Tumor"	1.00472765091562	-8.90921342071247	9.72873275644909	9.72873275644909
"X1001000173.F2"	"SeuratProject"	709439	2533	0	0.764829675278636	-0.0128917119550502	0.0100529913573464	"G2M"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"B cells"	NA	NA	"Progenitor cells"	"CMPs"	"Common myeloid progenitors"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.020656000340937	-8.7752164572115	12.0869574266766	12.0869574266766
