p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MCEMP1	2.9859286048085e-163	-0.342463056409112	0.208	0.545	3.49055053902114e-160
ANPEP	3.17070229561227e-131	-0.382965781579251	0.316	0.623	3.70655098357074e-128
S100A12	4.0982568320749e-130	-0.26721263863459	0.218	0.506	4.79086223669556e-127
FCN1	1.53418651473138e-129	-0.383736338118179	0.318	0.57	1.79346403572098e-126
CCL4	2.32340254440756e-123	0.330081651189543	0.997	0.962	2.71605757441244e-120
CCL4L2	4.14216577575995e-109	0.271594018200419	0.996	0.989	4.84219179186338e-106
SMIM25	4.7920380612603e-100	-0.312037691529139	0.309	0.622	5.60189249361329e-97
APOE	1.37379977760634e-99	0.255639518820829	0.999	0.99	1.60597194002182e-96
CD52	5.5366401113989e-98	-0.321853312303267	0.352	0.6	6.47233229022531e-95
FCGBP	1.58491466854782e-97	0.325630567268198	0.999	0.98	1.8527652475324e-94
CCL3	7.51518218860586e-95	0.272212537366394	0.995	0.963	8.78524797848025e-92
APOC1	6.83465535515962e-84	0.275848307823622	0.994	0.965	7.9897121101816e-81
FLNA	2.42117489176745e-77	-0.408345780625352	0.44	0.674	2.83035344847615e-74
TOP2A	5.96995638502388e-77	-0.339191855682988	0.72	0.786	6.97887901409292e-74
HMGB2	2.28096949471058e-70	-0.353957855174649	0.302	0.618	2.66645333931667e-67
AHNAK	8.9475759903832e-63	-0.278821111014732	0.338	0.503	1.0459716332758e-59
CD300E	2.25241359970484e-60	-0.272656211364216	0.662	0.737	2.63307149805496e-57
C15orf48	2.48003476438881e-58	-0.285112037350292	0.473	0.685	2.89916063957052e-55
A2M	1.22735323582947e-53	0.271973186979204	0.996	0.932	1.43477593268465e-50
VCAN	2.48496208510226e-53	-0.557293828489199	0.545	0.644	2.90492067748454e-50
S100A6	3.07068731661248e-44	-0.439482818673453	0.856	0.876	3.58963347311999e-41
S100A10	2.30861375225728e-43	-0.394296239971045	0.865	0.857	2.69876947638876e-40
LGMN	3.69930242306839e-40	0.296056432498083	0.9	0.786	4.32448453256694e-37
EREG	8.69625014742191e-39	-0.274034089667034	0.38	0.483	1.01659164223362e-35
CCL2	9.14535467910666e-39	0.276995868818237	0.875	0.831	1.06909196198757e-35
AREG	2.85306972538859e-38	-0.393612250677956	0.416	0.493	3.33523850897927e-35
CD44	3.89063520392837e-38	-0.294283888223828	0.748	0.878	4.54815255339226e-35
H2AFZ	6.82674881205955e-38	-0.301933608750844	0.74	0.891	7.98046936129761e-35
NRP2	1.48538996003589e-30	0.310199877630897	0.783	0.652	1.73642086328195e-27
TIMP1	4.6832975455364e-22	-0.317709185456427	0.761	0.886	5.47477483073205e-19
LYZ	6.29647010005839e-21	-0.273781557216322	0.83	0.89	7.36057354696826e-18
S100A8	1.56821797859168e-19	-0.27246961253081	0.856	0.908	1.83324681697367e-16
CENPF	0.219477546044557	-0.278777440714093	0.92	0.787	1
MKI67	0.965179651927153	-0.273373983268915	0.858	0.771	1
