p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPP1	0	0.316048306201739	1	0.999	0
GPNMB	0	0.781470415458515	0.941	0.645	0
BNIP3	0	0.705064509101681	0.865	0.563	0
CEP55	1.53850258594672e-272	-0.260494022633908	0.457	0.784	1.79850952297172e-269
NUPR1	2.9002942268033e-247	0.771073004011346	0.743	0.441	3.39044395113306e-244
CST7	9.72998629796289e-240	0.303069595925629	0.765	0.709	1.13743539823186e-236
OTOA	4.24401491290152e-239	0.356859965319325	0.785	0.628	4.96125343318188e-236
NRG1	2.10435372902278e-209	-0.283159807347276	0.621	0.792	2.45998950922764e-206
MKI67	9.75160956788333e-208	-0.422327775648881	0.549	0.809	1.13996315848556e-204
SLC2A1	6.01676357183014e-206	0.38447102316524	0.72	0.503	7.03359661546944e-203
CSTB	1.99117094549675e-195	0.401496779041014	0.958	0.867	2.3276788352857e-192
TPX2	1.34510695590189e-193	-0.290803501607352	0.517	0.769	1.57243003144931e-190
TOP2A	5.91041306708536e-189	-0.39365420183701	0.587	0.809	6.90927287542279e-186
CD9	1.52717275220001e-188	0.408533643235948	0.888	0.712	1.78526494732181e-185
LDHA	1.24987058431181e-187	0.279859111749378	0.981	0.947	1.4610987130605e-184
CENPF	2.72526387573077e-186	-0.424825116435599	0.576	0.827	3.18583347072927e-183
MCEMP1	2.55745299373249e-179	-0.44272332722163	0.202	0.569	2.98966254967328e-176
NUSAP1	2.70299719320241e-177	-0.333557612111554	0.452	0.743	3.15980371885362e-174
PCLAF	1.85127078361407e-156	-0.2835897562359	0.554	0.798	2.16413554604485e-153
FCN1	8.65136137164068e-146	-0.520664191423237	0.272	0.594	1.0113441443448e-142
LYZ	1.45612380410698e-139	-0.465236588669878	0.821	0.895	1.70220872700106e-136
SNHG12	1.77627919461996e-135	0.466772595743151	0.769	0.621	2.07647037851073e-132
DUSP2	1.01535829561167e-133	-0.370532777366762	0.615	0.845	1.18695384757005e-130
CXCL2	3.24480906951162e-131	-0.576783046065501	0.342	0.675	3.79318180225909e-128
VCAN	3.53992904805351e-127	-0.714929407811796	0.425	0.668	4.13817705717455e-124
IL1B	6.43224925095529e-127	-0.286746637863473	0.974	0.985	7.51929937436673e-124
CD52	1.12474227415797e-124	-0.453953196525429	0.318	0.622	1.31482371849067e-121
H2AFZ	1.48172248746434e-124	-0.379009157317472	0.838	0.887	1.73213358784581e-121
BIRC5	2.64052187869726e-120	-0.331878282071836	0.644	0.816	3.0867700761971e-117
CD300E	1.36806005571239e-115	-0.368312908116619	0.593	0.752	1.59926220512779e-112
ARL4C	7.79696361122032e-115	0.322546875986536	0.94	0.915	9.11465046151655e-112
ARID5B	1.56806752086835e-112	0.3292032355715	0.821	0.662	1.8330709318951e-109
BAG3	2.45241514097723e-107	0.301700927902856	0.698	0.51	2.86687329980239e-104
ENO2	3.78377069278655e-102	0.386460397993209	0.658	0.504	4.42322793986748e-99
MT3	8.93291627202773e-102	0.427627109145672	0.589	0.485	1.04425791220004e-98
IL4I1	9.35268926113664e-102	0.272014116887909	0.755	0.77	1.09332937462687e-98
VMO1	1.38781805241172e-101	0.264551996277378	0.78	0.75	1.62235930326931e-98
STMN1	1.95080929986914e-101	-0.4561255302391	0.713	0.907	2.28049607154703e-98
EREG	2.47298184632336e-100	-0.632582834992913	0.166	0.521	2.89091577835201e-97
S100A8	4.91348885688841e-98	-0.395605893300997	0.81	0.918	5.74386847370256e-95
RAB42	1.25069241727663e-93	0.474566807904726	0.632	0.578	1.46205943579638e-90
MT1E	6.21316797992898e-93	0.417263157903086	0.696	0.627	7.26319336853697e-90
ADAM8	2.94848776877127e-92	0.353585063548829	0.721	0.631	3.44678220169361e-89
MXI1	4.09593280198813e-89	0.374559352237954	0.6	0.407	4.78814544552412e-86
TK1	1.67269439314705e-88	-0.252062539494344	0.587	0.791	1.9553797455889e-85
CXCL3	5.24777348540035e-88	-0.522317503665644	0.334	0.622	6.13464720443302e-85
ANPEP	2.49385603462611e-86	-0.409341039160621	0.424	0.629	2.91531770447792e-83
MARCKSL1	6.06843086521533e-83	-0.254398659091342	0.74	0.857	7.09399568143672e-80
MT2A	2.48707223977471e-74	0.434043038786428	0.847	0.804	2.90738744829664e-71
ZFAND2A	1.41796826816276e-72	0.255151712409804	0.651	0.515	1.65760490548227e-69
AREG	8.07586344963937e-72	-0.624249469123049	0.231	0.525	9.44068437262843e-69
LGALS3	1.57417414988345e-71	0.291567768306469	0.906	0.807	1.84020958121375e-68
HSPH1	3.50622734008398e-69	0.360943776691958	0.839	0.719	4.09877976055817e-66
IL1RN	7.55140635212019e-69	-0.308000668029944	0.716	0.846	8.8275940256285e-66
S100A12	1.29215608261266e-68	-0.304089706605305	0.273	0.519	1.5105304605742e-65
S100A9	1.14860512451197e-67	-0.25541929766711	0.934	0.97	1.34271939055449e-64
THBD	9.63621479848287e-66	-0.307447625733774	0.642	0.805	1.12647350994265e-62
PLIN2	2.34376325980545e-63	0.262795292327038	0.869	0.756	2.73985925071257e-60
HSPB1	2.89942377530139e-60	0.281133549541697	0.892	0.852	3.38942639332733e-57
TIMP1	6.2442215917641e-60	-0.350309156109906	0.818	0.886	7.29949504077223e-57
CDK1	1.21616385160127e-58	-0.251833154522862	0.429	0.622	1.42169554252188e-55
RETN	3.0629182335508e-57	-0.281007903152959	0.378	0.558	3.58055141502088e-54
TYMS	8.64069236956059e-57	-0.270978938322543	0.517	0.693	1.01009693800163e-53
HSPA1A	2.3725892771165e-56	0.367011636631141	0.902	0.816	2.77355686494919e-53
EGR1	9.3681415107324e-54	-0.2590050017836	0.714	0.83	1.09513574260462e-50
ADM	1.54299437458291e-52	0.309608834423788	0.647	0.545	1.80376042388742e-49
RGCC	2.98584376140549e-51	0.351971014275922	0.76	0.718	3.49045135708302e-48
SERPINH1	3.14667653311889e-49	0.260035550032187	0.65	0.604	3.67846486721599e-46
FLNA	9.2774235462256e-49	-0.35845843111901	0.557	0.673	1.08453081255377e-45
PTGS2	1.22966839894999e-44	-0.269155374358133	0.697	0.805	1.43748235837254e-41
MARCO	1.79758042315769e-44	-0.358595036348667	0.192	0.432	2.10137151467133e-41
MT1X	2.03895806765292e-43	0.421628031523939	0.724	0.747	2.38354198108626e-40
HSPA1B	1.61306755555684e-41	0.314718777595462	0.675	0.56	1.88567597244594e-38
S100A6	4.8287134638783e-36	-0.279087544634071	0.86	0.877	5.64476603927374e-33
DNAJB1	2.70150305125075e-32	0.269190446938405	0.867	0.795	3.15805706691212e-29
MT1H	3.25889948013767e-18	0.413479100735554	0.589	0.676	3.80965349228093e-15
HSPA6	7.14420187514498e-17	0.315567401718739	0.678	0.682	8.35157199204448e-14
MT1G	3.14003728954215e-05	0.49597693364551	0.619	0.721	0.0367070359147478
