p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HAMP	0	0.525061927739164	0.95	0.957	0
FCGR2B	0	-0.455252711303445	0.387	0.771	0
CCL4L2	0	0.287656775052926	0.994	0.988	0
NRG1	0	-0.33814638491963	0.528	0.876	0
PLIN2	0	-0.702646647548812	0.583	0.853	0
STMN1	0	1.07033445861859	0.959	0.85	0
APOE	0	0.290917751458907	0.998	0.987	0
SCIN	0	0.433244512159416	0.89	0.884	0
EMP3	0	-0.498667266818274	0.725	0.931	0
TIMP1	0	-0.687810787977912	0.768	0.926	0
CSTB	0	-0.518152374452619	0.779	0.922	0
S100A6	0	-0.926476158521257	0.703	0.95	0
NDRG1	0	-0.542877051674965	0.456	0.821	0
MARCKSL1	0	-0.340525026008621	0.703	0.904	0
CEP55	0	0.572724135190561	0.775	0.73	0
CXCL8	0	-0.441333337664092	0.867	0.965	0
FLNA	0	-0.677097113165097	0.33	0.803	0
TK1	0	0.638638071998064	0.821	0.741	0
PCLAF	0	0.690441683602331	0.783	0.761	0
VEGFA	0	-0.61144466255695	0.467	0.791	0
SH3BP5	0	-0.442830917972548	0.299	0.768	0
LSP1	0	-0.507297674048692	0.5	0.847	0
HIST1H1B	0	0.394338191135758	0.701	0.657	0
KIF20B	0	0.391006042439797	0.728	0.604	0
VIM	0	-0.446542254703901	0.938	0.995	0
ANXA2	0	-0.405717103528593	0.75	0.943	0
CD52	0	-0.588712269823443	0.26	0.725	0
ACP5	0	-0.408010581327235	0.292	0.742	0
UPP1	0	-0.50154999852899	0.545	0.826	0
FCGBP	0	0.466459659845548	0.986	0.98	0
SLC2A3	0	-0.597537155267674	0.749	0.917	0
FCN1	0	-0.601477122239342	0.244	0.69	0
VCAN	0	-1.13251075065083	0.268	0.799	0
DLGAP5	0	0.432956410232235	0.701	0.614	0
S100A10	0	-1.01946494857124	0.613	0.965	0
CDKN3	0	0.467942131562176	0.69	0.628	0
TYMS	0	0.662280200513266	0.727	0.647	0
C15orf48	0	-0.713358249177837	0.339	0.816	0
LYZ	0	-0.547235947372349	0.808	0.92	0
NCAPG	0	0.393578720565858	0.679	0.72	0
A2M	0	0.386061302410325	0.955	0.927	0
TPX2	0	0.632039426815395	0.766	0.725	0
ADAM8	0	-0.353981573744788	0.309	0.788	0
CENPF	0	0.874204554052484	0.819	0.785	0
H2AFZ	0	0.64860504916788	0.944	0.854	0
TREM1	0	-0.488589559346795	0.619	0.852	0
SDS	0	-0.305641927370873	0.617	0.876	0
MKI67	0	0.945060521948056	0.824	0.756	0
CKAP2L	0	0.29902298805439	0.7	0.613	0
CD44	0	-0.53347528703987	0.715	0.938	0
BUB1	0	0.290169011964046	0.671	0.589	0
ANPEP	0	-0.600133966711078	0.25	0.758	0
PTTG1	0	0.611325073341472	0.731	0.628	0
S100A12	0	-0.395586469801209	0.169	0.628	0
BIRC5	0	0.732826391752314	0.813	0.787	0
LGALS3	0	-0.665974780271839	0.618	0.907	0
MCEMP1	0	-0.506879404525433	0.205	0.663	0
DUSP4	0	-0.336108407992973	0.346	0.702	0
HIST1H4C	0	0.639082358995126	0.894	0.89	0
RETN	0	-0.344794300246585	0.217	0.674	0
NUSAP1	0	0.77767219217539	0.783	0.673	0
CCND1	0	0.363845694189732	0.902	0.915	0
JAML	0	-0.303134348953316	0.393	0.812	0
TOP2A	0	0.859322775712021	0.776	0.784	0
ESCO2	0	0.363290784734993	0.686	0.58	0
CD300E	0	-0.476358422449306	0.472	0.846	0
FAM111B	0	0.389481809943482	0.681	0.653	0
HELLS	0	0.489443844929441	0.753	0.743	0
ATAD2	0	0.475655946637928	0.771	0.666	0
BUB1B	0	0.329991306781714	0.713	0.653	0
GPNMB	3.44699545345309e-300	-0.60312968431962	0.532	0.748	4.02953768508666e-297
AURKB	1.28295592830698e-298	0.264067628608286	0.65	0.596	1.49977548019086e-295
HMMR	2.09999366955404e-297	0.54460782802899	0.664	0.595	2.45489259970867e-294
SMIM25	1.01301282113531e-290	-0.443725198016263	0.355	0.71	1.18421198790718e-287
PPA1	4.45060153683145e-289	0.313016623898708	0.909	0.885	5.20275319655596e-286
BRCA2	2.04073557921088e-283	0.297869783378779	0.692	0.563	2.38561989209751e-280
CXCL3	1.26844785955384e-282	-0.655092749336317	0.342	0.693	1.48281554781844e-279
LGALS1	1.39491147678573e-281	-0.260080568658881	0.946	0.993	1.63065151636251e-278
CXCL2	7.73973650614064e-269	-0.622804486622301	0.421	0.726	9.04775197567841e-266
RNASE2	3.88257954147757e-267	0.344903400964429	0.901	0.841	4.53873548398728e-264
EMP1	2.84771648682856e-265	-0.292277754497973	0.37	0.671	3.32898057310258e-262
SGO2	1.41033493638628e-261	0.362881615201611	0.705	0.665	1.64868154063557e-258
SLC2A1	1.26041253655234e-260	-0.258902798338675	0.29	0.636	1.47342225522969e-257
S100B	1.01407224070181e-258	0.299293909820545	0.812	0.854	1.18545044938042e-255
APOC1	2.04106335163597e-256	0.283339448103462	0.985	0.959	2.38600305806245e-253
UBE2C	8.50416504646014e-256	0.511182059339661	0.686	0.695	9.9413689393119e-253
ACTN1	7.49419370827531e-249	-0.335827444232102	0.594	0.839	8.76071244497383e-246
FOLR2	6.22632954050567e-246	0.365671421987994	0.852	0.813	7.27857923285112e-243
RRM2	3.61716782506228e-242	0.486190540554719	0.702	0.726	4.22846918749781e-239
SMC4	1.80451610963241e-241	0.457045228788849	0.759	0.752	2.10947933216028e-238
FBP1	5.80638942018023e-240	-0.420392497493241	0.548	0.797	6.78766923219069e-237
EREG	1.09122029781794e-237	-0.705311037027388	0.208	0.595	1.27563652814917e-234
F13A1	1.19042639754668e-237	0.375534239558904	0.89	0.849	1.39160845873206e-234
ANXA1	1.49853775939975e-236	-0.366750495178527	0.776	0.909	1.75179064073831e-233
CDK1	1.83141025157505e-236	0.565456125357211	0.649	0.576	2.14091858409124e-233
AHNAK	2.03530107967618e-236	-0.488820315798489	0.246	0.6	2.37926696214146e-233
BNIP3	7.02743611567395e-235	-0.432101746101378	0.384	0.695	8.21507281922284e-232
HMGB2	2.95803419893013e-229	0.488956939429379	0.691	0.557	3.45794197854932e-226
CDC20	2.79794563687124e-224	0.388892733813478	0.69	0.78	3.27079844950248e-221
AREG	8.79014402006856e-221	-0.707635738982092	0.244	0.595	1.02756783594601e-217
SQSTM1	1.4165164699899e-219	-0.332501749650642	0.755	0.884	1.65590775341819e-216
MRC1	2.38776712170218e-217	-0.377433167513122	0.499	0.779	2.79129976526984e-214
CENPE	1.51835234287181e-216	0.424723087415758	0.604	0.518	1.77495388881715e-213
KIFC1	2.24941083686273e-213	0.269755101631698	0.637	0.659	2.62956126829253e-210
ASPM	2.27357993659151e-208	0.53531928623996	0.607	0.585	2.65781494587547e-205
CCNA2	1.80357959577039e-207	0.285940100061307	0.659	0.695	2.10838454745559e-204
KNL1	1.37607430823187e-206	0.409546446559266	0.701	0.766	1.60863086632306e-203
AQP9	9.73263346895689e-202	-0.382612159442342	0.197	0.58	1.13774485252106e-198
CCL4	5.35389215776639e-201	0.252987505243059	0.972	0.961	6.25869993242891e-198
ENO2	5.66251988165452e-199	-0.26547412458166	0.328	0.609	6.61948574165413e-196
S100A4	6.07200321850601e-199	-0.311431022243429	0.9	0.97	7.09817176243353e-196
