p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CDKN2D	1.28404294363259e-284	-0.257290095403702	0.115	0.471	1.50104620110649e-281
CD163	5.11396516571482e-185	0.516823033848628	0.961	0.83	5.97822527872063e-182
SELENOP	6.15761713332131e-118	0.740392574256729	0.766	0.634	7.19825442885261e-115
SIGLEC1	9.54249877362985e-109	0.354760550967694	0.718	0.342	1.11551810663733e-105
IFI44L	1.42509408394379e-94	0.319415138762682	0.781	0.593	1.66593498413029e-91
RNASE1	3.15643924972365e-90	0.601406885198479	0.692	0.363	3.68987748292695e-87
CKS2	2.42761952214284e-83	-0.382536674834774	0.441	0.577	2.83788722138498e-80
S100A4	9.97449173354404e-70	-0.267587662876704	1	0.945	1.1660180836513e-66
S100A9	1.37134203424089e-64	-0.250578338885019	1	0.963	1.6030988380276e-61
GLDN	4.36993196826601e-58	-0.349474381169308	0.342	0.451	5.10845047090297e-55
LGMN	2.45258437922301e-55	0.341296385642933	0.868	0.788	2.8670711393117e-52
S100A6	1.35289298510854e-52	-0.388933780565007	0.999	0.865	1.58153189959189e-49
S100A10	2.15624695856786e-48	-0.339467875945983	0.999	0.846	2.52065269456583e-45
MMP19	7.98877057365286e-44	-0.261908510994664	0.35	0.418	9.33887280060019e-41
ALDH1A1	1.80357475337206e-43	0.29209399686921	0.57	0.238	2.10837888669194e-40
FCGR2B	5.1217042754173e-43	0.264650732074603	0.831	0.64	5.98727229796282e-40
SERPINE1	3.02490450084994e-42	-0.564903828166834	0.384	0.358	3.53611336149359e-39
LILRB5	1.052924944976e-38	0.28069810266538	0.598	0.292	1.23086926067694e-35
SLC2A3	4.7184054866608e-38	-0.308810160919887	0.83	0.869	5.51581601390648e-35
S100A8	2.75109121717455e-34	-0.255038749973912	0.998	0.897	3.21602563287705e-31
EGR3	2.70815240649099e-32	-0.427721071961849	0.47	0.512	3.16583016318797e-29
MKI67	2.7926845325709e-30	-0.328296056127355	0.906	0.766	3.26464821857538e-27
LYZ	2.29124789268977e-27	-0.254992761637602	0.928	0.883	2.67846878655434e-24
ANPEP	2.58780913997875e-17	-0.28907364618673	0.98	0.573	3.02514888463516e-14
CD52	6.6285272318684e-17	-0.294889589705241	0.985	0.552	7.74874833405416e-14
FILIP1L	2.6419170773996e-15	0.254150327205445	0.621	0.465	3.08840106348013e-12
FCN1	3.16415612328282e-15	-0.375709853789234	0.887	0.528	3.69889850811761e-12
LYVE1	6.26306369225412e-13	0.443379536803478	0.541	0.208	7.32152145624507e-10
MRC1	1.26073669229099e-12	0.25209297869527	0.743	0.689	1.47380119328817e-09
COLEC12	4.89540189200241e-12	0.273700743505744	0.447	0.237	5.72272481175081e-09
CD300E	3.53522803102152e-11	-0.272315948247161	0.986	0.712	4.13268156826416e-08
NUSAP1	0.000543667625745075	-0.269507665496696	0.82	0.697	0.635547454495992
SMIM25	0.0218310338737989	-0.274132936335671	0.941	0.575	1
FLNA	0.0758758086103274	-0.284347306418002	0.994	0.632	1
VCAN	0.266251456248252	-0.386156212945204	0.998	0.609	1
