p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HSP90AA1	8.45992121500773e-196	0.515306009384476	1	0.99	9.88964790034404e-193
HSPA1A	2.2564079716071e-186	1.04052504444627	0.965	0.822	2.63774091880869e-183
DNAJB1	6.15049824891523e-165	1.03751149404461	0.963	0.799	7.1899324529819e-162
HSPA1B	4.89350515940864e-163	1.14330511440385	0.938	0.563	5.7205075313487e-160
HSPH1	3.46617051385781e-159	1.09042642034355	0.963	0.727	4.05195333069978e-156
DNAJA4	1.61464558092346e-144	0.728589312288768	0.925	0.545	1.88752068409952e-141
HSPA6	1.46114363228536e-133	1.27001226503535	0.912	0.674	1.70807690614159e-130
PLIN2	5.88337475948125e-130	0.858985047039055	0.946	0.765	6.87766509383358e-127
BAG3	3.95722787321038e-112	0.851981779993031	0.867	0.522	4.62599938378293e-109
SERPINH1	7.94153279162761e-109	0.459714320848294	0.879	0.6	9.28365183341267e-106
HSPD1	3.20784432226412e-101	0.604820353368981	0.988	0.926	3.74997001272676e-98
HSPB1	4.69108231269896e-101	0.75768230009943	0.954	0.854	5.48387522354509e-98
SLC2A3	4.87542509909137e-97	0.591039850891895	0.958	0.863	5.69937194083781e-94
CITED4	7.34324822602826e-97	0.260143085519354	0.81	0.421	8.58425717622703e-94
NDRG1	2.6569987397221e-89	0.67486497951692	0.908	0.703	3.10603152673514e-86
TSPYL2	2.21283564379031e-82	0.596245980496273	0.825	0.515	2.58680486759087e-79
DNAJB4	2.53370543813551e-82	0.502007049282027	0.821	0.527	2.96190165718041e-79
CD14	4.04101658695309e-77	-0.359055143544177	0.977	0.994	4.72394839014816e-74
ADM	1.67804996281247e-74	0.59942366462448	0.877	0.548	1.96164040652778e-71
S100A10	2.67635202879265e-71	0.506758619250759	0.971	0.854	3.12865552165861e-68
RETN	4.07735948273532e-67	0.39204902748569	0.863	0.524	4.76643323531759e-64
UPP1	8.98591031436476e-65	0.491502695832394	0.925	0.735	1.05045291574924e-61
CRYAB	2.02881332188721e-64	0.33233802678972	0.798	0.622	2.37168277328615e-61
ZFAND2A	1.92637014787491e-63	0.748233523091163	0.762	0.525	2.25192670286577e-60
C15orf48	2.60683886293679e-61	0.598294652841674	0.892	0.664	3.04739463077311e-58
VCAN	9.13799737284828e-61	0.57854311025668	0.975	0.626	1.06823189288596e-57
FCGBP	1.23990773818741e-60	-0.433059972580254	0.958	0.982	1.44945214594108e-57
DDIT4	4.55078141215221e-60	0.573392735017419	0.821	0.567	5.31986347080593e-57
S100B	4.56120704305575e-59	-0.283533785608303	0.7	0.846	5.33205103333217e-56
CSTB	1.34069213736418e-58	0.460686930606024	0.935	0.876	1.56726910857872e-55
TIMP1	7.79695552001486e-56	0.452984790878741	0.979	0.874	9.11464100289737e-53
FBP1	3.45046263994577e-52	0.560634750578687	0.844	0.717	4.03359082609661e-49
LDHA	5.47498507252023e-52	0.259978333628045	0.963	0.951	6.40025754977615e-49
SLC2A1	9.28792716401518e-52	0.572212936584932	0.75	0.523	1.08575868547337e-48
VEGFA	3.56233513219062e-49	0.460442985045994	0.883	0.686	4.16436976953084e-46
SH3BP5	2.42344127856667e-47	0.37559829983338	0.875	0.617	2.83300285464443e-44
HILPDA	6.63232882600234e-47	0.665219138470856	0.74	0.613	7.75319239759674e-44
TENT5A	4.83563985774225e-46	0.442735006976562	0.792	0.549	5.65286299370069e-43
APOE	2.55889254109616e-44	-0.26398887178138	0.983	0.991	2.99134538054141e-41
MXI1	6.41205634759199e-42	0.544337376915709	0.706	0.422	7.49569387033504e-39
BNIP3	2.17066834865424e-39	0.497201697289797	0.796	0.594	2.53751129957681e-36
SMIM25	1.41423050983567e-38	0.399480280622013	0.833	0.594	1.65323546599789e-35
SCIN	6.76280992491231e-38	-0.364246429752744	0.863	0.886	7.90572480222249e-35
CCL3	5.6425897843531e-37	-0.295750391347498	0.933	0.966	6.59618745790877e-34
TREM1	7.28265438627114e-36	0.403724567025649	0.846	0.779	8.51342297755096e-33
CA2	2.27945496275536e-35	0.271689012754886	0.748	0.51	2.66468285146102e-32
NRP1	2.89615002075943e-34	-0.322078691661489	0.831	0.902	3.38559937426777e-31
CTSL	4.27853790241009e-34	-0.349020279107971	0.787	0.909	5.0016108079174e-31
SLC5A3	6.43000438228778e-34	0.356707678943654	0.694	0.406	7.51667512289441e-31
IER5L	5.46454410001164e-33	0.347920180882875	0.873	0.71	6.3880520529136e-30
JUN	7.35415771280805e-33	0.309555102582985	0.927	0.861	8.59701036627261e-30
HLA-DQA1	2.5261224081929e-31	-0.276681574142254	0.94	0.951	2.9530370951775e-28
S100A6	5.41483565202732e-30	0.336085328505273	0.971	0.872	6.32994287721994e-27
CD52	1.65499011294505e-29	0.404633692535451	0.798	0.577	1.93468344203276e-26
PLTP	2.16390053445346e-29	-0.34648664868879	0.515	0.755	2.5295997247761e-26
MARCO	2.20782927461264e-29	0.453991650209056	0.648	0.394	2.58095242202217e-26
CXCR4	2.20849437386311e-29	0.410376126498813	0.76	0.542	2.58172992304597e-26
CCL4	1.47243523079396e-27	-0.256907844971748	0.988	0.964	1.72127678479814e-24
CCND1	1.3976774034477e-26	-0.257725233398817	0.908	0.911	1.63388488463036e-23
CPM	2.60416008750629e-25	-0.322061700886774	0.296	0.57	3.04426314229485e-22
HMOX1	3.70225545477928e-25	0.356153982148593	0.9	0.773	4.32793662663698e-22
CD163	1.47970328666733e-24	-0.297305112858619	0.756	0.843	1.72977314211411e-21
SQSTM1	4.35584407920677e-24	0.257464103681024	0.877	0.843	5.09198172859272e-21
LGMN	1.33522162827571e-23	-0.309109935794842	0.669	0.798	1.56087408345431e-20
H2AFZ	1.62518317839389e-23	-0.294697215718959	0.76	0.885	1.89983913554246e-20
LGALS3	9.15077334533576e-23	0.303708625392384	0.906	0.816	1.06972540406975e-19
TCEAL9	4.87423853178188e-22	0.414307516188604	0.658	0.462	5.69798484365301e-19
ITGA5	3.69705738700422e-21	0.25889443168212	0.827	0.664	4.32186008540794e-18
A2M	5.3474292666976e-21	-0.284342508795559	0.925	0.936	6.2511448127695e-18
TXNIP	5.27532691997943e-20	0.285381371677177	0.925	0.778	6.16685716945596e-17
TNS1	1.0129701660252e-18	0.362055998388176	0.61	0.319	1.18416212408346e-15
F13A1	7.06666205864752e-18	-0.250615980653963	0.863	0.862	8.26092794655895e-15
LIPA	3.33083676789247e-17	-0.300242021005394	0.777	0.764	3.89374818166629e-14
CCL2	3.73198227765698e-17	-0.305978914589652	0.846	0.833	4.36268728258102e-14
NR4A3	4.90310519764271e-16	-0.282090807745964	0.819	0.798	5.73172997604433e-13
RASD1	3.24476878541141e-14	0.298263541323075	0.567	0.387	3.79313471014594e-11
SOX4	8.27778666057485e-14	0.319383470024969	0.658	0.483	9.676732606212e-11
ANKRD37	1.98675202640057e-13	0.335832253160252	0.635	0.527	2.32251311886226e-10
TGM2	1.1650655341737e-11	0.288939539668504	0.55	0.345	1.36196160944905e-08
FCGR2B	2.3021705368083e-10	0.310851868168617	0.706	0.652	2.6912373575289e-07
SERPINE1	1.24074299432478e-06	0.369001902910188	0.456	0.356	0.00145042856036567
