"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.G8"	"SeuratProject"	971747	2184	0	1.68428613620623	-0.00382799611931643	0.00906329306167022	"G2M"	"2"	"1"	"1"	"4"	"4"	0.143529411764706	"Singlet"	"Tissue_stem_cells"	NA	NA	"T cells, CD8+, naive, stimulated"	NA	NA	"CD8+ T cells"	"CD8+ Effector Memory RA"	"Astrocytes"	"Astrocytes"	"Tumor"	0.630240370069982	-8.30275332626057	10.1490582657616	10.1490582657616
"X1001000173.D4"	"SeuratProject"	509929	1074	0	0.898752571436416	-0.0275553619033471	0.0122026346559087	"G2M"	"7"	"8"	"8"	"15"	"15"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"B cells"	"Exhausted B cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Tumor"	-0.277020822728632	15.352349880374	-11.3586117089313	-11.3586117089313
"X1001000173.B4"	"SeuratProject"	1101191	5870	0	4.18619476548573	-0.0330223915610463	-0.0501678669054503	"G1"	"2"	"1"	"1"	"4"	"4"	0.270588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.166389871870519	-10.2264522283907	11.4866515355313	11.4866515355313
"X1001000173.A2"	"SeuratProject"	1310084	4106	0	0.983219396618843	0.0173521250220922	-0.0634652346662936	"S"	"2"	"1"	"1"	"3"	"3"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-3.95937008735037	-10.7856706350679	27.4155511998429	27.4155511998429
"X1001000173.E2"	"SeuratProject"	1218726	2341	0	0.889535465724043	0.00407755229632957	0.0376995439721991	"G2M"	"2"	"1"	"1"	"3"	"3"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Neurons"	"Neurons"	"Myeloid"	-2.92017955657339	-9.27913224395466	19.8975305506527	19.8975305506527
"X1001000173.F6"	"SeuratProject"	1092370	2850	0	0.853740033138955	-0.00657314098515054	0.00745695088520036	"G2M"	"2"	"1"	"1"	"3"	"3"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"MEPs"	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Fibroblasts"	"Myeloid"	-3.57729930754995	-9.69145810302449	25.0964602042548	25.0964602042548
"X1001000173.B12"	"SeuratProject"	1214175	6035	0	3.15539358000288	-0.00973945913797677	-0.0824358171825345	"G1"	"2"	"1"	"1"	"4"	"4"	0.272941176470588	"Singlet"	"Smooth_muscle_cells"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Astrocytes"	"Tumor"	1.63780908707285	-8.78766905959797	5.4387934367603	5.4387934367603
"X1001000173.D6"	"SeuratProject"	1234464	4467	0	1.9836949477668	-0.0487317374442864	-0.0174769236677919	"G1"	"2"	"1"	"1"	"10"	"10"	0.355294117647059	"Doublet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Dendritic cells"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-9.08731551047659	11.0367904931669	4.17665732145203	4.17665732145203
"X1001000173.H1"	"SeuratProject"	1035031	4527	0	1.1076962912222	-0.00193338983938786	-0.0307075344260572	"G1"	"2"	"1"	"1"	"3"	"3"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Adipocytes"	"Myeloid"	-1.82438630935049	-9.0078333586092	22.3269887838768	22.3269887838768
"X1001000173.E4"	"SeuratProject"	1381855	3746	0	3.57960856964009	-0.0337958869122163	-0.0613513520186622	"G1"	"2"	"1"	"1"	"4"	"4"	0.232941176470588	"Singlet"	"Tissue_stem_cells"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Dendritic cells"	"Plasmacytoid dendritic cells"	"HSCs"	NA	"Myocytes"	"Adipocytes"	"Tumor"	1.41724615219736	-8.77526700195027	5.27386076787023	5.27386076787023
