"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.A2"	"SeuratProject"	1310084	4106	0	0.983219396618843	0.0173521250220922	-0.0634652346662936	"S"	"2"	"1"	"1"	"3"	"3"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-3.95937008735037	-10.7856706350679	27.4155511998429	27.4155511998429
"X1001000173.E2"	"SeuratProject"	1218726	2341	0	0.889535465724043	0.00407755229632957	0.0376995439721991	"G2M"	"2"	"1"	"1"	"3"	"3"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Neurons"	"Neurons"	"Myeloid"	-2.92017955657339	-9.27913224395466	19.8975305506527	19.8975305506527
"X1001000173.F6"	"SeuratProject"	1092370	2850	0	0.853740033138955	-0.00657314098515054	0.00745695088520036	"G2M"	"2"	"1"	"1"	"3"	"3"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"MEPs"	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Fibroblasts"	"Myeloid"	-3.57729930754995	-9.69145810302449	25.0964602042548	25.0964602042548
"X1001000173.H1"	"SeuratProject"	1035031	4527	0	1.1076962912222	-0.00193338983938786	-0.0307075344260572	"G1"	"2"	"1"	"1"	"3"	"3"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Adipocytes"	"Myeloid"	-1.82438630935049	-9.0078333586092	22.3269887838768	22.3269887838768
"X1001000173.C2"	"SeuratProject"	1259838	4727	0	1.15816477991615	-0.0285402059176719	-0.0354412986806317	"G1"	"2"	"1"	"1"	"3"	"3"	0.232941176470588	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Fibroblasts"	"Myeloid"	-3.82360167380667	-10.9027932852144	26.0674799539925	26.0674799539925
"X1001000173.F4"	"SeuratProject"	1414398	5030	0	1.77312185113384	0.0550640190621919	-0.0641306944574588	"S"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.81743652697897	-9.87503325637532	22.5564019622099	22.5564019622099
"X1001000173.E10"	"SeuratProject"	966628	3904	0	2.26778036638707	-0.0921849477121186	-0.0397832241847189	"G1"	"2"	"1"	"1"	"3"	"3"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34- CD71lo GlyA+"	"Fibroblasts"	"Astrocytes"	"Myeloid"	-3.62193388816213	-10.7574924200411	27.0000520042836	27.0000520042836
"X1001000173.E6"	"SeuratProject"	1751432	3054	0	1.16436150532821	0.00921857501603307	-0.0557793610699921	"S"	"2"	"1"	"1"	"3"	"3"	0.244705882352941	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.33855528708792	-10.6875890463228	28.284271671713	28.284271671713
"X1001000173.B1"	"SeuratProject"	1305244	5312	0	2.75887113826993	-0.0516846083716782	-0.0175259648693012	"G1"	"1"	"0"	"0"	"0"	"0"	0.327058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Myocytes"	"Myeloid"	-0.191456626618861	16.4502941400175	-11.3634865551007	-11.3634865551007
"X1001000173.B10"	"SeuratProject"	590924	2768	0	1.60832865140018	-0.0544030343035139	-0.0319884126954046	"G1"	"2"	"1"	"1"	"3"	"3"	0.209411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Neurons"	"Myeloid"	-2.93089146491384	-9.7278622358675	23.8977370972597	23.8977370972597
